org_name,city,state,ein,url,tax_year,year_formed,submission_time,n_employees,total_revenue,title,comp,is_ceo,is_cto,is_coo,is_cfo,is_bd,is_pres,is_cmo,is_cdo,is_board,is_founder,n_indiv_titles,n_ceo_in_org_year,has_ceo_in_org_year,total_comp_ceo_in_org_year,has_comp_ceo_in_org_year,n_cto_in_org_year,has_cto_in_org_year,total_comp_cto_in_org_year,has_comp_cto_in_org_year,n_coo_in_org_year,has_coo_in_org_year,total_comp_coo_in_org_year,has_comp_coo_in_org_year,n_cfo_in_org_year,has_cfo_in_org_year,total_comp_cfo_in_org_year,has_comp_cfo_in_org_year,n_bd_in_org_year,has_bd_in_org_year,total_comp_bd_in_org_year,has_comp_bd_in_org_year,n_pres_in_org_year,has_pres_in_org_year,total_comp_pres_in_org_year,has_comp_pres_in_org_year,n_cmo_in_org_year,has_cmo_in_org_year,total_comp_cmo_in_org_year,has_comp_cmo_in_org_year,n_cdo_in_org_year,has_cdo_in_org_year,total_comp_cdo_in_org_year,has_comp_cdo_in_org_year,n_board_in_org_year,has_board_in_org_year,total_comp_board_in_org_year,has_comp_board_in_org_year,n_founder_in_org_year,has_founder_in_org_year,total_comp_founder_in_org_year,has_comp_founder_in_org_year,org_age,city_int,state_int,in_ARCATA,in_BARRINGTON,in_BELLVALE,in_BERKELEY,in_BETHESDA,in_BETHSEDA,in_BOSTON,in_BROOKLYN,in_CAMBRIDGE,in_CARMEL,in_CHARLOTTE,in_CHICAGO,in_DANVERS,in_DENVER,in_ENCINO,in_HELENA,in_HOUSTON,in_HYANNIS,in_IRVINE,in_JACKSONVILLE,in_LAKELAND,in_LOS ANGELES,in_MIAMI,in_MINNEAPOLIS,in_MOUNTAIN VIEW,in_NEW YORK,in_OAKLAND,in_PALO ALTO,in_PARK CITY,in_PLEASANTON,in_REDWOOD CITY,in_SALEM,in_SAN FRANCISCO,in_SANTA ANA,in_SEATTLE,in_SHEPHERDSTOWN,in_STANFORD,in_STERLING,in_SUNNYVALE,in_TUCSON,in_WALTHAM,in_WARWICK,in_WASHINGTON,in_WAYNESVILLE,in_WEST SACRAMENTO,in_ZIONSVILLE,in_AZ,in_CA,in_CO,in_DC,in_FL,in_IL,in_IN,in_MA,in_MD,in_MN,in_MT,in_NC,in_NY,in_OH,in_RI,in_TX,in_UT,in_VA,in_VT,in_WA,in_WV
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,Executive Director,177052,1,0,0,0,0,0,0,0,0,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,Dir of App Solutions,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0,0,0,0,0,0,0,0,0,1,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0,0,0,0,0,0,0,0,0,1,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0,0,0,0,0,0,0,0,0,1,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0,0,0,0,0,0,0,0,0,1,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0,0,0,0,0,0,0,0,0,1,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0,0,0,0,0,0,0,0,0,1,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,Product Manager,167835,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,asst dir of app solution,206646,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center to Promote Healthcare Access Inc,OAKLAND,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,Dir Fin & Admin Thru 4/6,126695,0,0,0,1,0,0,0,0,0,0,1,1.0,1.0,177052,1.0,3.0,1.0,0167835206646,1.0,0.0,0.0,0,0.0,1.0,1.0,126695,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,1.0,000000,1.0,0.0,0.0,0,0.0,3.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTER FOR STUDENT OPPORTUNITY INC,BETHESDA,MD,421559197,https://s3.amazonaws.com/irs-form-990/201102279349304550_public.xml,2010,2005,2011-08-15T17:03:40-07:00,5,742653,Exec Director/CEO,85450,1,0,0,0,0,0,0,0,0,0,1,1.0,1.0,85450,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,00,1.0,0.0,0.0,0,0.0,5.0,4,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
