,org_name,city,state,ein,url,tax_year,year_formed,submission_time,n_employees,total_revenue,title,comp
0,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,Executive Director,177052
1,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,Dir of App Solutions,0
2,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0
3,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0
4,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0
5,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0
6,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0
7,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,director,0
8,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,Product Manager,167835
9,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,asst dir of app solution,206646
10,The Center to Promote Healthcare Access Inc,Oakland,CA,593831966,https://s3.amazonaws.com/irs-form-990/201120429349301812_public.xml,2009,2006,2011-02-11T17:03:35-06:00,22,9008925,Dir Fin & Admin Thru 4/6,126695
11,CENTER FOR STUDENT OPPORTUNITY INC,BETHESDA,MD,421559197,https://s3.amazonaws.com/irs-form-990/201102279349304550_public.xml,2010,2005,2011-08-15T17:03:40-07:00,5,742653,Exec Director/CEO,85450
12,CENTER FOR STUDENT OPPORTUNITY INC,BETHESDA,MD,421559197,https://s3.amazonaws.com/irs-form-990/201102279349304550_public.xml,2010,2005,2011-08-15T17:03:40-07:00,5,742653,Board Member,0
13,CENTER FOR STUDENT OPPORTUNITY INC,BETHESDA,MD,421559197,https://s3.amazonaws.com/irs-form-990/201102279349304550_public.xml,2010,2005,2011-08-15T17:03:40-07:00,5,742653,Board Member,0
14,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,CHAIRMAN,0
15,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,TREASURER,0
16,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,SECRETARY,0
17,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,DIRECTOR,0
18,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,DIRECTOR,0
19,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,DIRECTOR,0
20,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,DIRECTOR,0
21,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,DIRECTOR,0
22,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,DIRECTOR,0
23,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,DIRECTOR,0
24,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,PRESIDENT,160234
25,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,VP AND COO,153268
26,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,VP OF CURRICULUM & ASSESSMENT,127927
27,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,DIRECTOR OF FINANCE,124677
28,CLASSROOM INC,NEW YORK,NY,133666846,https://s3.amazonaws.com/irs-form-990/201132989349300003_public.xml,2010,1992,2011-10-25T09:01:40-05:00,22,5735951,SENIOR DIRECTOR OF BUSINESS DEVELOPMENT,112854
29,CODE FOR AMERICA LABS INC,OAKLAND,CA,271067272,https://s3.amazonaws.com/irs-form-990/201103139349300945_public.xml,2010,2009,2011-11-09T12:02:54-08:00,5,2255939,Director,0
30,CODE FOR AMERICA LABS INC,OAKLAND,CA,271067272,https://s3.amazonaws.com/irs-form-990/201103139349300945_public.xml,2010,2009,2011-11-09T12:02:54-08:00,5,2255939,Director,0
