RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID
8203199,EFILE,593831966,201006,3/7/2011 11:00:09 AM,CENTER TO PROMOTE HEALTHCARE ACCESS INC,990,93493042018121,201120429349301812
8888053,EFILE,421559197,201012,9/19/2011 11:50:45 AM,CENTER FOR STUDENT OPPORTUNITY INC,990,93493227045501,201102279349304550
9059731,EFILE,133666846,201106,11/17/2011 8:20:32 AM,CLASSROOM INC,990,93493298000031,201132989349300003
9092189,EFILE,271067272,201106,11/30/2011 9:29:06 AM,CODE FOR AMERICA LABS INC,990,93493313009451,201103139349300945
9190732,EFILE,260642778,201012,12/23/2011 6:54:06 AM,D-REV DESIGN FOR THE OTHER 90,990,93493319108641,201143199349310864
9059726,EFILE,271912105,201012,11/17/2011 8:20:17 AM,FAMILIES EMPOWERED,990,93493298009121,201122989349300912
8178056,EFILE,200938414,201006,2/25/2011 2:18:41 PM,FREECYCLE NETWORK,990EZ,93492032000101,201100329349200010
9158183,EFILE,262506162,201012,12/14/2011 9:22:08 PM,HARMONY INSTITUTE INC,990,93493318032681,201133189349303268
9154733,EFILE,770560011,201012,12/14/2011 8:39:15 AM,HOPELAB FOUNDATION INC,990PF,93491319015531,201133199349101553
9142460,EFILE,263283639,201012,12/12/2011 7:20:54 AM,IN OUR BACKYARDS INC,990,93493319017111,201113199349301711
9156213,EFILE,263534444,201012,12/14/2011 2:38:42 PM,IMAGING THE WORLD CORPORATION,990,93493319095221,201123199349309522
9119075,EFILE,43428609,201012,12/6/2011 9:45:48 PM,KIVA FOUNDATION,990PF,93491311005541,201143119349100554
9125656,EFILE,261335205,201012,12/7/2011 9:51:45 PM,LITERACY BRIDGE,990,93493318075451,201103189349307545
9120775,EFILE,542176407,201012,12/7/2011 7:20:37 AM,ONE LAPTOP PER CHILD ASSOCIATION INC,990O,93493319092511,201113199349309251
9000808,EFILE,61727461,201012,10/31/2011 3:51:02 PM,OPEN MEDIA FOUNDATION,990,93493195006231,201131959349300623
8889861,EFILE,202630593,201012,9/19/2011 8:56:44 PM,PARTICIPATORY CULTURE FOUNDATION INC,990,93493224008011,201112249349300801
9142953,EFILE,262296822,201012,12/12/2011 8:51:02 AM,PARTICIPATORY POLITICS FOUNDATION,990,93493319094751,201103199349309475
9198977,EFILE,262547062,201012,12/28/2011 12:23:04 PM,SAMASOURCE INC,990,93493319052621,201123199349305262
8952227,EFILE,542059475,201012,10/12/2011 8:42:12 AM,SKYTRUTH,990,93493134005171,201121349349300517
8643390,EFILE,943070617,201006,6/8/2011 8:23:54 AM,TECHSOUP GLOBAL,990,93493136056071,201121369349305607
8213345,EFILE,205771109,201003,3/9/2011 11:42:37 AM,VIDEO VOLUNTEERS,990,93493046006371,201120469349300637
8348927,EFILE,200049703,201006,4/12/2011 12:40:40 PM,WIKIMEDIA FOUNDATION INC,990,93493091006231,201130919349300623
9117051,EFILE,383796793,201106,12/6/2011 2:11:55 PM,ICIVICS INC,990,93493318037101,201103189349303710
8213047,EFILE,383796793,201006,3/9/2011 10:55:00 AM,ICIVICS INC,990,93493046012271,201120469349301227
9326756,EFILE,650828272,201106,3/26/2012 6:37:04 AM,ADOPT-A-CLASSROOM INC,990,93493068010052,201200689349301005
10123058,EFILE,743050022,201112,12/27/2012,BLUE PLANET NETWORK,990,93493315000192,201243159349300019
9967348,EFILE,133666846,201206,11/6/2012,CLASSROOM INC,990,93493292006132,201232929349300613
10002994,EFILE,412024986,201112,11/19/2012,COMMON SENSE MEDIA,990,93493256007102,201202569349300710
9875672,EFILE,133720473,201112,10/11/2012,DO SOMETHING INC,990,93493132021762,201211329349302176
9884505,EFILE,133720473,201112,10/15/2012,DO SOMETHING INC,990,93493132010472,201221329349301047
9895084,EFILE,263761772,201112,10/17/2012,DTWO LTD,990,93493284008252,201202849349300825
9868391,EFILE,272460359,201112,10/10/2012,DEMOCRACY WORKS INC,990EZ,93492136012002,201201369349201200
9940978,EFILE,300172078,201112,10/30/2012,DESIGN THAT MATTERS INC,990,93493135034392,201241359349303439
10092340,EFILE,262418959,201112,12/17/2012,DIGITAL GREEN FOUNDATION,990,93493319028902,201203199349302890
10118454,EFILE,262418959,201012,12/26/2012,DIGITAL GREEN FOUNDATION,990,93493319026972,201223199349302697
9999091,EFILE,273744004,201112,11/16/2012,EDNOVO,990,93493241006152,201202419349300615
10108322,EFILE,271912105,201112,12/20/2012,FAMILIES EMPOWERED,990,93493318010462,201213189349301046
10060607,EFILE,611524216,201112,12/10/2012,GLOBAL LIVES PROJECT INC,990EZ,93492319025932,201233199349202593
10012814,EFILE,205061881,201112,11/20/2012,GREAT NONPROFITS,990,93493307003232,201233079349300323
10119183,EFILE,770560011,201112,12/26/2012,HOPELAB FOUNDATION INC,990PF,93491319015012,201213199349101501
10129418,EFILE,263534444,201112,12/28/2012,IMAGING THE WORLD CORPORATION,990,93493320085832,201233209349308583
10148861,EFILE,204895174,201112,12/31/2012,INSTEDD,990,93493321005012,201213219349300501
10016506,EFILE,43428609,201112,11/21/2012,KIVA FOUNDATION,990PF,93491254001032,201232549349100103
10120552,EFILE,261335205,201112,12/27/2012,LITERACY BRIDGE,990,93493320055372,201223209349305537
9852858,EFILE,271777117,201112,10/3/2012,LITERACY LAB,990,93493124007432,201231249349300743
10000185,EFILE,330798804,201112,11/16/2012,MIND RESEARCH INSTITUTE,990,93493240000212,201212409349300021
9321184,EFILE,810526651,201106,3/22/2012 1:17:23 PM,NATIONAL INSTITUTE ON MONEY IN STATE POLITICS,990,93493062016092,201240629349301609
10126870,EFILE,273923894,201112,12/28/2012,NEWBORN FOUNDATION,990,93493318043692,201243189349304369
9912183,EFILE,900514027,201112,10/22/2012,NEXLEAF ANALYTICS,990,93493220010912,201212209349301091
10129188,EFILE,542176407,201112,12/28/2012,ONE LAPTOP PER CHILD ASSOCIATION INC,990O,93493320057232,201233209349305723
9955149,EFILE,61727461,201112,11/2/2012,OPEN MEDIA FOUNDATION,990,93493299009122,201222999349300912
9925704,EFILE,202630593,201112,10/25/2012,PARTICIPATORY CULTURE FOUNDATION INC,990,93493214007242,201242149349300724
10149070,EFILE,262296822,201112,12/31/2012,PARTICIPATORY POLITICS FOUNDATION,990,93493347000402,201203479349300040
10114661,EFILE,262547062,201112,12/21/2012,SAMASOURCE INC,990,93493320039372,201223209349303937
9885899,EFILE,208837690,201112,10/15/2012,SINGLE STOP USA INC,990,93493276007032,201232769349300703
9939123,EFILE,542059475,201112,10/30/2012,SKYTRUTH,990,93493136054622,201221369349305462
9663814,EFILE,943070617,201106,6/22/2012 7:27:52 AM,TECHSOUP GLOBAL,990,93493136070162,201211369349307016
10121201,EFILE,731662480,201112,12/27/2012,UNIVERSALGIVING,990,93493320070782,201233209349307078
9566944,EFILE,205771109,201103,5/24/2012 8:02:30 AM,VIDEO VOLUNTEERS,990,93493086006342,201240869349300634
9866614,EFILE,273354192,201112,10/10/2012,WISHBONEORG,990,93493136028542,201241369349302854
9624477,EFILE,200049703,201106,6/12/2012 10:33:54 PM,WIKIMEDIA FOUNDATION INC,990,93493130022742,201241309349302274
9924480,EFILE,272092468,201112,10/25/2012,WORLDREADERORG,990,93493213004392,201242139349300439
10013287,EFILE,383796793,201206,11/20/2012,ICIVICS INC,990,93493307011622,201223079349301162
10953472,EFILE,452669508,201212,11/18/2013,1947 PARTITION ARCHIVE,990EZ,93492226019313,201312269349201931
10742002,EFILE,650828272,201206,8/6/2013,ADOPT-A-CLASSROOM INC,990,93493135059063,201311359349305906
10942848,EFILE,743050022,201212,11/14/2013,BLUE PLANET NETWORK,990,93493222003033,201332229349300303
10777078,EFILE,593831966,201206,8/16/2013,CENTER TO PROMOTE HEALTHCARE ACCESS INC,990,93493130017293,201341309349301729
11006459,EFILE,272832137,201212,12/9/2013,CASE COMMONS INC,990PF,93491227005073,201322279349100507
10263180,EFILE,421559197,201206,3/12/2013,CENTER FOR STUDENT OPPORTUNITY INC,990,93493042013633,201330429349301363
10265900,EFILE,271067272,201206,3/13/2013,CODE FOR AMERICA LABS INC,990,93493044005133,201330449349300513
11068431,EFILE,412024986,201212,12/24/2013,COMMON SENSE MEDIA,990,93493318042183,201333189349304218
11081243,EFILE,260642778,201212,12/27/2013,D-REV DESIGN FOR THE OTHER 90,990,93493317023493,201343179349302349
10713879,EFILE,133720473,201212,7/29/2013,DO SOMETHING INC,990,93493128011983,201331289349301198
10711231,EFILE,272460359,201212,7/26/2013,DEMOCRACY WORKS INC,990,93493170003203,201301709349300320
10746466,EFILE,300172078,201212,8/7/2013,DESIGN THAT MATTERS INC,990,93493170001143,201341709349300114
11074177,EFILE,273744004,201212,12/26/2013,EDNOVO,990,93493304005003,201303049349300500
11085502,EFILE,262780747,201212,12/30/2013,FAIR TRADE FUND INC,990,93493318026093,201343189349302609
10859832,EFILE,271912105,201212,9/25/2013,FAMILIES EMPOWERED,990,93493255007003,201302559349300700
10766423,EFILE,200938414,201206,8/14/2013,FREECYCLE NETWORK,990,93493135053573,201321359349305357
10714466,EFILE,272245578,201212,7/29/2013,GET SCHOOLED FOUNDATION,990,93493128011313,201311289349301131
10210914,EFILE,271661997,201208,2/14/2013,GIVE DIRECT INC,990,93493015013263,201310159349301326
10823990,EFILE,562435785,201212,9/9/2013,GOOD WORLD SOLUTIONS INC FKA WORLD OF GOODDEVELOPMENT ORG INC,990,93493205001323,201322059349300132
10959472,EFILE,205061881,201212,11/20/2013,GREAT NONPROFITS,990,93493226012633,201332269349301263
11050888,EFILE,262506162,201212,12/19/2013,HARMONY INSTITUTE INC,990,93493318066913,201313189349306691
10210836,EFILE,262506162,201112,2/14/2013,HARMONY INSTITUTE INC,990,93493017001333,201330179349300133
10791251,EFILE,273199988,201206,8/21/2013,HOLLABACK INC,990EZ,93492135033343,201341359349203334
11069805,EFILE,770560011,201212,12/24/2013,HOPELAB FOUNDATION INC,990PF,93491317008533,201333179349100853
11082687,EFILE,273166713,201212,12/27/2013,HUMANITARIAN OPENSTREETMAP TEAM UNITED STATES INC,990,93493316031943,201343169349303194
